# Converted file from inputfile Messung_1.CHN
# MCA number or Detector number: 1
# Segment number (set to 1 in UMCBI): 1
# ASCII seconds of start time: 14131
# Real Time (s): 120.000
# Live Time (s) : 119.800
# Start Date (DDMMMYY): 10JAN00
# Start time (HHMM): 2143
# Channel offset of data: 0
# Number of channels (length of data): 1024

# Data: 

328 	 2
329 	 1
330 	 5
331 	 2
332 	 1
333 	 0
334 	 0
335 	 3
336 	 1
337 	 1
338 	 2
339 	 2
340 	 1
341 	 0
342 	 1
343 	 4
344 	 0
345 	 0
346 	 0
347 	 0
348 	 0
349 	 3
350 	 2
351 	 3
352 	 2
353 	 0
354 	 3
355 	 1
356 	 1
357 	 1
358 	 0
359 	 3
360 	 1
361 	 3
362 	 0
363 	 0
364 	 1
365 	 0
366 	 1
367 	 1
368 	 0
369 	 1
370 	 1
371 	 1
372 	 0
373 	 0
374 	 3
375 	 1
376 	 0
377 	 2
378 	 2
379 	 1
380 	 0
381 	 1
382 	 1
383 	 1
384 	 0
385 	 0
386 	 0
387 	 3
388 	 1
389 	 0
390 	 1
391 	 2
392 	 0
393 	 0
394 	 0
395 	 0
396 	 1
397 	 0
398 	 0
399 	 2
400 	 0
401 	 1
402 	 1
403 	 0
404 	 1
405 	 0
406 	 3
407 	 0
408 	 1
409 	 1
410 	 0
411 	 1
412 	 1
413 	 1
414 	 0
415 	 1
416 	 0
417 	 0
418 	 3
419 	 1
420 	 0
421 	 0
422 	 1
423 	 1
424 	 0
425 	 0
426 	 1
427 	 1
428 	 1
429 	 1
430 	 1
431 	 1
432 	 1
433 	 0
434 	 1
435 	 2
436 	 2
437 	 0
438 	 1
439 	 1
440 	 0
441 	 1
442 	 0
443 	 0
444 	 0
445 	 2
446 	 1
447 	 1
448 	 1
449 	 0
450 	 0
451 	 0
452 	 1
453 	 0
454 	 0
455 	 2
456 	 0
457 	 0
458 	 1
459 	 1
460 	 1
461 	 1
462 	 2
463 	 0
464 	 0
465 	 1
466 	 2
467 	 1
468 	 0
469 	 0
470 	 1
471 	 0
472 	 0
473 	 0
474 	 1
475 	 0
476 	 0
477 	 0
478 	 1
479 	 2
480 	 2
481 	 1
482 	 1
483 	 0
484 	 0
485 	 1
486 	 1
487 	 0
488 	 0
489 	 0
490 	 0
491 	 1
492 	 2
493 	 2
494 	 0
495 	 0
496 	 0
497 	 0
498 	 0
499 	 0
500 	 1
501 	 0
502 	 0
503 	 0
504 	 0
505 	 1
506 	 0
507 	 0
508 	 2
509 	 1
510 	 2
511 	 0
512 	 0
513 	 0
514 	 0
515 	 0
516 	 0
517 	 0
518 	 1
519 	 0
520 	 1
521 	 1
522 	 0
523 	 1
524 	 0
525 	 0
526 	 1
527 	 0
528 	 1
529 	 0
530 	 0
531 	 0
532 	 0
533 	 0
534 	 0
535 	 1
536 	 0
537 	 1
538 	 0
539 	 0
540 	 0
541 	 1
542 	 0
543 	 0
544 	 0
545 	 0
546 	 0
547 	 0
548 	 0
549 	 0
550 	 0
551 	 1
552 	 0
553 	 0
554 	 0
555 	 0
556 	 0
557 	 0
558 	 1
559 	 1
560 	 0
561 	 0
562 	 0
563 	 1
564 	 0
565 	 0
566 	 1
567 	 0
568 	 1
569 	 0
570 	 0
571 	 1
572 	 0
573 	 1
574 	 0
575 	 2
576 	 2
577 	 2
578 	 0
579 	 0
580 	 1
581 	 0
582 	 3
583 	 0
584 	 0
585 	 0
586 	 1
587 	 0
588 	 0
589 	 2
590 	 0
591 	 2
592 	 0
593 	 0
594 	 0
595 	 2
596 	 0
597 	 0
598 	 1
599 	 1
600 	 1
601 	 0
602 	 0
603 	 2
604 	 1
605 	 1
606 	 0
607 	 1
608 	 0
609 	 0
610 	 0
611 	 2
612 	 0
613 	 0
614 	 0
615 	 1
616 	 0
617 	 0
618 	 0
619 	 0
620 	 0
621 	 0
622 	 0
623 	 0
624 	 0
625 	 0
626 	 0
627 	 2
628 	 1
629 	 0
630 	 1
631 	 0
632 	 0
633 	 0
634 	 0
635 	 2
636 	 0
637 	 0
638 	 0
639 	 0
640 	 1
641 	 0
642 	 0
643 	 0
644 	 0
645 	 0
646 	 1
647 	 0
648 	 0
649 	 0
650 	 0
651 	 0
652 	 0
653 	 0
654 	 0
655 	 0
656 	 0
657 	 0
658 	 1
659 	 0
660 	 0
661 	 0
662 	 0
663 	 1
664 	 0
665 	 0
666 	 0
667 	 0
668 	 1
669 	 0
670 	 0
671 	 1
672 	 1
673 	 0
674 	 0
675 	 0
676 	 0
677 	 0
678 	 0
679 	 0
680 	 1
681 	 0
682 	 0
683 	 0
684 	 0
685 	 0
686 	 0
687 	 0
688 	 0
689 	 0
690 	 0
691 	 0
692 	 2
693 	 0
694 	 0
695 	 0
696 	 0
697 	 0
698 	 0
699 	 0
700 	 0
701 	 1
702 	 0
703 	 0
704 	 0
705 	 0
706 	 0
707 	 0
708 	 1
709 	 0
710 	 1
711 	 0
712 	 0
713 	 0
714 	 0
715 	 0
716 	 0
717 	 0
718 	 0
719 	 0
720 	 0
721 	 0
722 	 1
723 	 0
724 	 0
725 	 0
726 	 0
727 	 0
728 	 0
729 	 0
730 	 0
731 	 0
732 	 0
733 	 0
734 	 0
735 	 0
736 	 0
737 	 0
738 	 0
739 	 1
740 	 0
741 	 0
742 	 0
743 	 1
744 	 0
745 	 1
746 	 0
747 	 0
748 	 0
749 	 0
750 	 0
751 	 0
752 	 0
753 	 0
754 	 0
755 	 1
756 	 0
757 	 0
758 	 0
759 	 0
760 	 1
761 	 0
762 	 0
763 	 0
764 	 1
765 	 0
766 	 1
767 	 0
768 	 0
769 	 0
770 	 0
771 	 0
772 	 0
773 	 0
774 	 0
775 	 1
776 	 0
777 	 0
778 	 1
779 	 2
780 	 0
781 	 0
782 	 0
783 	 0
784 	 2
785 	 0
786 	 0
787 	 0
788 	 0
789 	 0
790 	 0
791 	 0
792 	 0
793 	 0
794 	 0
795 	 1
796 	 0
797 	 0
798 	 0
799 	 1
800 	 0
801 	 0
802 	 0
803 	 0
804 	 0
805 	 0
806 	 0
807 	 0
808 	 0
809 	 1
810 	 0
811 	 0
812 	 0
813 	 0
814 	 0
815 	 0
816 	 0
817 	 0
818 	 0
819 	 0
820 	 0
821 	 0
822 	 0
823 	 0
824 	 0
825 	 0
826 	 0
827 	 0
828 	 0
829 	 0
830 	 0
831 	 0
832 	 0
833 	 0
834 	 0
835 	 0
836 	 0
837 	 0
838 	 0
839 	 0
840 	 0
841 	 0
842 	 0
843 	 0
844 	 0
845 	 0
846 	 0
847 	 0
848 	 0
849 	 0
850 	 1
851 	 0
852 	 0
853 	 0
854 	 0
855 	 0
856 	 0
857 	 0
858 	 0
859 	 0
860 	 0
861 	 0
862 	 0
863 	 0
864 	 0
865 	 0
866 	 0
867 	 0
868 	 0
869 	 1
870 	 0
871 	 0
872 	 0
873 	 0
874 	 0
875 	 0
876 	 0
877 	 0
878 	 0
879 	 0
880 	 0
881 	 0
882 	 0
883 	 1
884 	 0
885 	 0
886 	 0
887 	 0
888 	 0
889 	 0
890 	 0
891 	 0
892 	 0
893 	 0
894 	 0
895 	 0
896 	 0
897 	 0
898 	 0
899 	 0
900 	 0
901 	 0
902 	 0
903 	 0
904 	 0
905 	 0
906 	 0
907 	 0
908 	 0
909 	 0
910 	 0
911 	 0
912 	 1
913 	 0
914 	 0
915 	 0
916 	 0
917 	 0
918 	 0
919 	 0
920 	 0
921 	 0
922 	 0
923 	 0
924 	 0
925 	 0
926 	 0
927 	 0
928 	 0
929 	 0
930 	 0
931 	 0
932 	 0
933 	 0
934 	 0
935 	 0
936 	 0
937 	 0
938 	 0
939 	 0
940 	 0
941 	 0
942 	 0
943 	 0
944 	 0
945 	 0
946 	 0
947 	 0
948 	 0
949 	 0
950 	 0
951 	 0
952 	 0
953 	 0
954 	 0
955 	 0
956 	 0
957 	 0
958 	 0
959 	 0
960 	 0
961 	 0
962 	 0
963 	 0
964 	 0
965 	 0
966 	 0
967 	 0
968 	 0
969 	 0
970 	 0
971 	 0
972 	 0
973 	 1
974 	 0
975 	 0
976 	 0
977 	 0
978 	 1
979 	 0
980 	 0
981 	 0
982 	 0
983 	 0
984 	 0
985 	 0
986 	 0
987 	 0
988 	 0
989 	 0
990 	 0
991 	 0
992 	 0
993 	 0
994 	 0
995 	 0
996 	 0
997 	 0
998 	 0
999 	 0
1000 	 0
1001 	 0
1002 	 0
1003 	 0
1004 	 0
1005 	 0
1006 	 0
1007 	 0
1008 	 0
1009 	 0
1010 	 0
1011 	 0
1012 	 0
1013 	 0
1014 	 0
1015 	 0
1016 	 0
1017 	 0
1018 	 0
1019 	 0
1020 	 0
1021 	 0
1022 	 0
1023 	 0


# Energy calibration zero intercept, 0.0 for uncalibrated spectrum: 0.00000
# Energy calibration slope, 1.0 for uncalibrated spectrum: 0.00000
# Energy calibration quadratic term, 0.0 for uncalibrated spectrum: 0.00000
# Peak shape calibration zero intercept, 1.0 for uncalibrated spectrum: 1.00000
# Peak shape calibration slope, 0.0 for uncalibrated spectrum: 0.00000
# Peak shape calibration quadratic term, 0.0 for uncalibrated spectrum: 0.00000
# Detector description: 
# Sample description: 
